Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,Build,C:\repos\hounsell_BuildFeed\BuildFeed.Model\Build.cs,GenerateFamily,The following statement contains a magic number: if (Lab?.StartsWith("rs3"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone3;              }              else if (Lab?.StartsWith("feature2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Feature2;              }              else if (Lab?.StartsWith("rs2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone2;              }              else if (Lab?.StartsWith("rs1"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Redstone;              }              else if (Lab?.StartsWith("th2"' StringComparison.InvariantCultureIgnoreCase) ?? false)              {                  Family = ProjectFamily.Threshold2;              }                // move on to version number guesses              else if (Number >= 16350)              {                  Family = ProjectFamily.Redstone4;              }              else if (Number >= 15140)              {                  Family = ProjectFamily.Redstone3;              }              else if (Number >= 14800)              {                  Family = ProjectFamily.Redstone2;              }              else if (Number >= 11000)              {                  Family = ProjectFamily.Redstone;              }              else if (Number >= 10500)              {                  Family = ProjectFamily.Threshold2;              }              else if (Number >= 9650)              {                  Family = ProjectFamily.Threshold;              }              else if (Number >= 9250)              {                  Family = ProjectFamily.WindowsBlue;              }              else if (Number >= 7650)              {                  Family = ProjectFamily.Windows8;              }              else if (Number >= 6400)              {                  Family = ProjectFamily.Windows7;              }              else if (MajorVersion == 6 && Number >= 5000)              {                  Family = ProjectFamily.WindowsVista;              }              else if (MajorVersion == 6)              {                  Family = ProjectFamily.Longhorn;              }              else if (MajorVersion == 5 && Number >= 3000)              {                  Family = ProjectFamily.Server2003;              }              else if (MajorVersion == 5 && Number >= 2205)              {                  Family = ProjectFamily.WindowsXP;              }              else if (MajorVersion == 5 && MinorVersion == 50)              {                  Family = ProjectFamily.Neptune;              }              else if (MajorVersion == 5)              {                  Family = ProjectFamily.Windows2000;              }                // ¯\_(ツ)_/¯              else              {                  Family = ProjectFamily.None;              }
Magic Number,BuildFeed.Model,MongoConfig,C:\repos\hounsell_BuildFeed\BuildFeed.Model\MongoConfig.cs,MongoConfig,The following statement contains a magic number: if (!success)              {                  port = 27017; // mongo default port              }
