Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DrawOperationTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DrawOperationTests.cs,Rectangle_Bounds_Are_Snapped_To_Pixels,The method has 11 parameters. Parameters: x' y' width' height' scaleX' scaleY' penThickness' expectedX' expectedY' expectedWidth' expectedHeight
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,CreateFormattedText,The method has 7 parameters. Parameters: text' typeface' fontSize' textAlignment' wrapping' constraint' spans
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,LoadBitmap,The method has 5 parameters. Parameters: format' data' size' dpi' stride
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockStreamGeometryContext,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,ArcTo,The method has 5 parameters. Parameters: point' size' rotationAngle' isLargeArc' sweepDirection
Long Statement,Avalonia.Visuals.UnitTests.Rendering,DeferredRendererTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\DeferredRendererTests.cs,Should_Draw_Transparent_Layer_With_Correct_Opacity,The length of the statement  "            context.Verify(x => x.DrawImage(borderLayer' 0.5' It.IsAny<Rect>()' It.IsAny<Rect>()' BitmapInterpolationMode.Default)); " is 120.
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Negate_Should_Return_Negated_Vector,The following statement contains a magic number: var vector = new Vector(2' 4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Negate_Should_Return_Negated_Vector,The following statement contains a magic number: var negated = new Vector(-2' -4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Negate_Should_Return_Negated_Vector,The following statement contains a magic number: var negated = new Vector(-2' -4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Dot_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(-6' 8.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Dot_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(-6' 8.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Dot_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 12.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Dot_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 12.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Dot_Should_Return_Correct_Value,The following statement contains a magic number: Assert.Equal(66.0' Vector.Dot(a' b));
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Cross_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(-6' 8.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Cross_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(-6' 8.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Cross_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 12.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Cross_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 12.0);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Cross_Should_Return_Correct_Value,The following statement contains a magic number: Assert.Equal(-112.0' Vector.Cross(a' b));
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(5' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(2' 1);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_Should_Return_Correct_Value,The following statement contains a magic number: var vector = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_Should_Return_Correct_Value,The following statement contains a magic number: var vector = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(5' 1);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Divied_Should_Return_Correct_Value,The following statement contains a magic number: Assert.Equal(expected' Vector.Divide(vector' 2));
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var a = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(2' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var b = new Vector(2' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(20' 4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_By_Vector_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(20' 4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_Should_Return_Correct_Value,The following statement contains a magic number: var vector = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_Should_Return_Correct_Value,The following statement contains a magic number: var vector = new Vector(10' 2);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(20' 4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_Should_Return_Correct_Value,The following statement contains a magic number: var expected = new Vector(20' 4);
Magic Number,Avalonia.Visuals.UnitTests,VectorTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VectorTests.cs,Multiply_Should_Return_Correct_Value,The following statement contains a magic number: Assert.Equal(expected' Vector.Multiply(vector' 2));
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: var root = new TestRoot              {                  Width = 100'                  Height = 100'                  Child = new Decorator                  {                      Width = 50'                      Height = 50'                      HorizontalAlignment = HorizontalAlignment.Center'                      VerticalAlignment = VerticalAlignment.Center'                      RenderTransform = new TranslateTransform(25' 25)'                      Child = target = new Border()'                  }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: Assert.Equal(new Point(50' 50)' result);
Magic Number,Avalonia.Visuals.UnitTests,VisualExtensionsTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualExtensionsTests.cs,TranslatePoint_Should_Respect_RenderTransforms,The following statement contains a magic number: Assert.Equal(new Point(50' 50)' result);
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: var child = new Decorator { Width = 100' Height = 100 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: var child = new Decorator { Width = 100' Height = 100 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: var root = new TestRoot() { Child = child' Width = 400' Height = 400 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: var root = new TestRoot() { Child = child' Width = 400' Height = 400 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: Assert.Equal(new Point(150' 150)' point);
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_Should_Work,The following statement contains a magic number: Assert.Equal(new Point(150' 150)' point);
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var child = new Decorator              {                  Width = 100'                  Height = 100'                  RenderTransform = new ScaleTransform() { ScaleX = 2' ScaleY = 2 }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var child = new Decorator              {                  Width = 100'                  Height = 100'                  RenderTransform = new ScaleTransform() { ScaleX = 2' ScaleY = 2 }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var child = new Decorator              {                  Width = 100'                  Height = 100'                  RenderTransform = new ScaleTransform() { ScaleX = 2' ScaleY = 2 }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var child = new Decorator              {                  Width = 100'                  Height = 100'                  RenderTransform = new ScaleTransform() { ScaleX = 2' ScaleY = 2 }              };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var root = new TestRoot() { Child = child' Width = 400' Height = 400 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: var root = new TestRoot() { Child = child' Width = 400' Height = 400 };
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: Assert.Equal(new Point(100' 100)' point);
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,TransformToVisual_With_RenderTransform_Should_Work,The following statement contains a magic number: Assert.Equal(new Point(100' 100)' point);
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,Changing_ZIndex_Should_InvalidateVisual,The following statement contains a magic number: canvas1.ZIndex = 10;
Magic Number,Avalonia.Visuals.UnitTests,VisualTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTests.cs,Changing_ZIndex_Should_Recalculate_Parent_Children,The following statement contains a magic number: canvas1.ZIndex = 10;
Magic Number,Avalonia.Visuals.UnitTests.Media,FontFamilyTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\FontFamilyTests.cs,Should_Parse_FontFamily_With_Fallbacks,The following statement contains a magic number: Assert.Equal(2' fontFamily.FamilyNames.Count());
Magic Number,Avalonia.Visuals.UnitTests.Media,GeometryTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\GeometryTests.cs,Setting_Transform_Causes_Changed_To_Be_Raised,The following statement contains a magic number: target.Transform = new RotateTransform(45);
Magic Number,Avalonia.Visuals.UnitTests.Media,GeometryTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\GeometryTests.cs,Changing_Transform_Causes_Changed_To_Be_Raised,The following statement contains a magic number: var transform = new RotateTransform(45);
Magic Number,Avalonia.Visuals.UnitTests.Media,GeometryTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\GeometryTests.cs,Changing_Transform_Causes_Changed_To_Be_Raised,The following statement contains a magic number: transform.Angle = 90;
Magic Number,Avalonia.Visuals.UnitTests.Media,GeometryTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\GeometryTests.cs,Removing_Transform_Causes_Changed_To_Be_Raised,The following statement contains a magic number: var transform = new RotateTransform(45);
Magic Number,Avalonia.Visuals.UnitTests.Media,GeometryTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\GeometryTests.cs,Transform_Produces_Transformed_PlatformImpl,The following statement contains a magic number: var rotate = new RotateTransform(45);
Magic Number,Avalonia.Visuals.UnitTests.Media,LinearGradientBrushTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\LinearGradientBrushTests.cs,Changing_StartPoint_Raises_Invalidated,The following statement contains a magic number: target.StartPoint = new RelativePoint(10' 10' RelativeUnit.Absolute);
Magic Number,Avalonia.Visuals.UnitTests.Media,LinearGradientBrushTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\LinearGradientBrushTests.cs,Changing_StartPoint_Raises_Invalidated,The following statement contains a magic number: target.StartPoint = new RelativePoint(10' 10' RelativeUnit.Absolute);
Magic Number,Avalonia.Visuals.UnitTests.Media,LinearGradientBrushTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\LinearGradientBrushTests.cs,Changing_EndPoint_Raises_Invalidated,The following statement contains a magic number: target.EndPoint = new RelativePoint(10' 10' RelativeUnit.Absolute);
Magic Number,Avalonia.Visuals.UnitTests.Media,LinearGradientBrushTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\LinearGradientBrushTests.cs,Changing_EndPoint_Raises_Invalidated,The following statement contains a magic number: target.EndPoint = new RelativePoint(10' 10' RelativeUnit.Absolute);
Magic Number,Avalonia.Visuals.UnitTests.Media,LinearGradientBrushTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\LinearGradientBrushTests.cs,Changing_GradientStop_Offset_Raises_Invalidated,The following statement contains a magic number: target.GradientStops[0].Offset = 0.5;
Magic Number,Avalonia.Visuals.UnitTests.Media,MatrixTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\MatrixTests.cs,Parse_Parses,The following statement contains a magic number: var expected = new Matrix(1' 2' 3' -4' 5' 6);
Magic Number,Avalonia.Visuals.UnitTests.Media,MatrixTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\MatrixTests.cs,Parse_Parses,The following statement contains a magic number: var expected = new Matrix(1' 2' 3' -4' 5' 6);
Magic Number,Avalonia.Visuals.UnitTests.Media,MatrixTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\MatrixTests.cs,Parse_Parses,The following statement contains a magic number: var expected = new Matrix(1' 2' 3' -4' 5' 6);
Magic Number,Avalonia.Visuals.UnitTests.Media,MatrixTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\MatrixTests.cs,Parse_Parses,The following statement contains a magic number: var expected = new Matrix(1' 2' 3' -4' 5' 6);
Magic Number,Avalonia.Visuals.UnitTests.Media,MatrixTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\MatrixTests.cs,Parse_Parses,The following statement contains a magic number: var expected = new Matrix(1' 2' 3' -4' 5' 6);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' figure.StartPoint);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' figure.StartPoint);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Line,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Line,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Move,The following statement contains a magic number: Assert.Equal(new Point(20' 20)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Move,The following statement contains a magic number: Assert.Equal(new Point(20' 20)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Relative_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Relative_Move,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Relative_Move,The following statement contains a magic number: Assert.Equal(new Point(30' 30)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,Parses_Implicit_Line_Command_After_Relative_Move,The following statement contains a magic number: Assert.Equal(new Point(30' 30)' lineSegment.Point);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,CloseFigure_Should_Move_CurrentPoint_To_CreateFigurePoint,The following statement contains a magic number: Assert.Equal(2' pathGeometry.Figures.Count);
Magic Number,Avalonia.Visuals.UnitTests.Media,PathMarkupParserTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Media\PathMarkupParserTests.cs,CloseFigure_Should_Move_CurrentPoint_To_CreateFigurePoint,The following statement contains a magic number: Assert.Equal(new Point(10' 10)' figure.StartPoint);
