Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,HandParserGeneralHandTests,The method has 8 parameters. Parameters: site' expectedHandId' expectedDateOfHand' expectedDealerButtonPosition' expectedNumberOfPlayers' expectedRake' expectedPotSize' handFile
Long Parameter List,HandHistories.Parser.UnitTests.Utils.AllInActionHelperTests,AllInActionHelperTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Utils\AllInActionHelperTests\AllInActionHelperTests.AllInActionType.cs,TestAllInActionHelper,The method has 5 parameters. Parameters: playerName' amount' street' actions' expectedAllInActionType
Long Identifier,HandHistories.Parser.UnitTests.Parsers.PerformanceTest,HandParserPerformanceTest,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\PerformanceTests\HandParserPerformanceTests.cs,Performance_Parse1000Hands,The length of the parameter ExecutionTimeLessThanFiveSeconds is 32.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaisesReachesCap_Works,The length of the statement  "                GetPokerStarsFastParser().ParseRegularActionLine(@"WANGZHEGL: raises $7.10 to $9.01 and has reached the $10 cap"' 9' Street.Preflop); " is 133.
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTests888Impl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTests888Impl.cs,ParseHandActions_PostingDead,The following statement contains a magic number: var expected = new List<HandAction>()               {                  new HandAction("icebbberg"' HandActionType.SMALL_BLIND' 1m' Street.Preflop)'                  new HandAction("whoisdrew"' HandActionType.BIG_BLIND' 2m' Street.Preflop)'                  new HandAction("GYAMEPRO"' HandActionType.POSTS' 3m' Street.Preflop)'                  new HandAction("Mr.Pesto"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Preflop)'                  new HandAction("Suic1deKing"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("gaokaipoker"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("icebbberg"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("whoisdrew"' HandActionType.CHECK' Street.Preflop)'                      new HandAction("whoisdrew"' HandActionType.CHECK' Street.Flop)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Flop)'                    new HandAction("whoisdrew"' HandActionType.CHECK' Street.Turn)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Turn)'                    new HandAction("whoisdrew"' HandActionType.CHECK' Street.River)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.River)'                    new HandAction("whoisdrew"' HandActionType.SHOW' Street.Showdown)'                  new HandAction("GYAMEPRO"' HandActionType.SHOW' Street.Showdown)'                    new WinningsAction("GYAMEPRO"' HandActionType.WINS' 5.70m' 0)'                  };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTests888Impl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTests888Impl.cs,ParseHandActions_PostingDead,The following statement contains a magic number: var expected = new List<HandAction>()               {                  new HandAction("icebbberg"' HandActionType.SMALL_BLIND' 1m' Street.Preflop)'                  new HandAction("whoisdrew"' HandActionType.BIG_BLIND' 2m' Street.Preflop)'                  new HandAction("GYAMEPRO"' HandActionType.POSTS' 3m' Street.Preflop)'                  new HandAction("Mr.Pesto"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Preflop)'                  new HandAction("Suic1deKing"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("gaokaipoker"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("icebbberg"' HandActionType.FOLD' Street.Preflop)'                  new HandAction("whoisdrew"' HandActionType.CHECK' Street.Preflop)'                      new HandAction("whoisdrew"' HandActionType.CHECK' Street.Flop)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Flop)'                    new HandAction("whoisdrew"' HandActionType.CHECK' Street.Turn)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.Turn)'                    new HandAction("whoisdrew"' HandActionType.CHECK' Street.River)'                  new HandAction("GYAMEPRO"' HandActionType.CHECK' Street.River)'                    new HandAction("whoisdrew"' HandActionType.SHOW' Street.Showdown)'                  new HandAction("GYAMEPRO"' HandActionType.SHOW' Street.Showdown)'                    new WinningsAction("GYAMEPRO"' HandActionType.WINS' 5.70m' 0)'                  };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AllInHand_WithAction7_Works,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("bf324846"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.RAISE' 0.25m' Street.Preflop)'                                          new HandAction("SSfullHH"' HandActionType.RAISE' 0.4m' Street.Preflop)'                                          new HandAction("bf324846"' HandActionType.CALL' 0.2m' Street.Preflop)'                                            new HandAction("SSfullHH"' HandActionType.CHECK' 0m' Street.Flop)'                                          new HandAction("bf324846"' HandActionType.BET' 0.7m' Street.Flop)'                                          new HandAction("SSfullHH"' HandActionType.CALL' 0.7m' Street.Flop)'                                                                                  new HandAction("SSfullHH"' HandActionType.BET' 2.40m' Street.Turn)'                                          new HandAction("bf324846"' HandActionType.CALL' 2.40m' Street.Turn)'                                            new HandAction("SSfullHH"' HandActionType.BET' 1.37m' Street.River' true)'                                               new HandAction("bf324846"' HandActionType.CALL' 1.37m' Street.River)'                                             new HandAction("bf324846"' HandActionType.SHOW' 0' Street.Showdown)'                                          new HandAction("SSfullHH"' HandActionType.SHOW' 0' Street.Showdown)'                                            new WinningsAction("bf324846"' HandActionType.WINS' 9.28m' 0)                                      };
Magic Number,HandHistories.Parser.UnitTests.Parsers.HandParserTests.HandActionTests,HandParserHandActionTestsIPokerImpl,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\HandActionTests\HandParserHandActionTestsIPokerImpl.cs,AnteParsingTest_Fixed,The following statement contains a magic number: List<HandAction> expectedActions = new List<HandAction>()                                      {                                          new HandAction("Ge007"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("joinboy"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("xvala"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("StrangerFish1"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("morphius007"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("morphius007"' HandActionType.ANTE' 0.02m' Street.Preflop)'                                          new HandAction("Ge007"' HandActionType.SMALL_BLIND' 0.05m' Street.Preflop)'                                          new HandAction("joinboy"' HandActionType.BIG_BLIND' 0.10m' Street.Preflop)'                                          new HandAction("xvala"' HandActionType.FOLD' 0.00m' Street.Preflop)'                                          new HandAction("StrangerFish1"' HandActionType.CALL' 0.10m' Street.Preflop)'                                          new HandAction("morphius007"' HandActionType.RAISE' 0.40m - 0.02m' Street.Preflop)'                                          new HandAction("ijdnakuri"' HandActionType.FOLD' 0.00m' Street.Preflop)'                                          new HandAction("Ge007"' HandActionType.CALL' 0.35m' Street.Preflop)'                                          new HandAction("joinboy"' HandActionType.CALL' 0.30m' Street.Preflop)'                                          new HandAction("StrangerFish1"' HandActionType.CALL' 0.30m' Street.Preflop)'                                                                                new HandAction("Ge007"' HandActionType.CHECK' 0.0m' Street.Flop)'                                                                                new HandAction("joinboy"' HandActionType.CHECK' 0.0m' Street.Flop)'                                                                                new HandAction("StrangerFish1"' HandActionType.BET' 1.29m' Street.Flop)'                                                                                new HandAction("morphius007"' HandActionType.CALL' 1.29m' Street.Flop)'                                                                                new HandAction("Ge007"' HandActionType.FOLD' 0.0m' Street.Flop)'                                                                                new HandAction("joinboy"' HandActionType.FOLD' 0.0m' Street.Flop)'                                              new HandAction("StrangerFish1"' HandActionType.BET' 2.15m' Street.Turn)'                                                                                new HandAction("morphius007"' HandActionType.CALL' 2.15m' Street.Turn)'                                                                             new HandAction("StrangerFish1"' HandActionType.BET' 4.30m' Street.River)'                                                                                new AllInAction("morphius007"' 8.36m' Street.River' true)'                                                                             new HandAction("StrangerFish1"' HandActionType.BET' 4.36m' Street.River)'                                                                                new HandAction("StrangerFish1"' HandActionType.SHOW' 0m' Street.Showdown)'                                                                             new HandAction("morphius007"' HandActionType.SHOW' 0m' Street.Showdown)'                                             new WinningsAction("StrangerFish1"' HandActionType.WINS' 24.32m' 0)'                                      };
